senate_dist,county
005,DeKalb
005,Gwinnett
038,Fulton
045,Gwinnett
022,Richmond
048,Fulton
048,Gwinnett
010,Henry
010,DeKalb
011,Thomas
011,Decatur
011,Seminole
011,Colquitt
011,Grady
011,Early
011,Mitchell
011,Miller
012,Terrell
012,Dougherty
012,Baker
012,Clay
012,Calhoun
012,Quitman
012,Mitchell
012,Randolph
013,Ben Hill
013,Worth
013,Crisp
013,Lee
013,Irwin
013,Tift
013,Wilcox
013,Turner
014,Dooly
014,Webster
014,Marion
014,Upson
014,Schley
014,Macon
014,Taylor
014,Talbot
014,Peach
014,Sumter
014,Crawford
014,Stewart
015,Muscogee
015,Chattahoochee
016,Lamar
016,Fayette
016,Pike
016,Spalding
016,Monroe
019,Montgomery
019,Wayne
019,Appling
019,Toombs
019,Liberty
019,Jeff Davis
019,Wheeler
019,Long
019,Tattnall
054,Gordon
054,Catoosa
054,Murray
054,Whitfield
033,Cobb
030,Paulding
030,Carroll
030,Douglas
031,Paulding
031,Polk
031,Bartow
031,Haralson
050,Stephens
050,White
050,Hart
050,Towns
050,Franklin
050,Banks
050,Habersham
050,Rabun
037,Cobb
034,Fayette
034,Clayton
053,Catoosa
053,Dade
053,Walker
053,Chattooga
049,Jackson
049,Hall
044,Henry
044,Clayton
043,Rockdale
043,DeKalb
051,Union
051,Pickens
051,Lumpkin
051,White
051,Forsyth
051,Dawson
051,Gilmer
051,Fannin
036,Fulton
052,Gordon
052,Bartow
052,Floyd
032,Fulton
032,Cobb
035,Fulton
035,Douglas
018,Bibb
018,Crawford
018,Jones
018,Houston
018,Monroe
003,Ware
003,McIntosh
003,Glynn
003,Camden
003,Charlton
003,Brantley
024,McDuffie
024,Columbia
024,Elbert
024,Wilkes
024,Warren
024,Glascock
024,Lincoln
001,Liberty
001,Chatham
001,Bryan
026,Wilkinson
026,Bibb
026,Houston
026,Twiggs
007,Ware
007,Bacon
007,Coffee
007,Cook
007,Clinch
007,Echols
007,Lanier
007,Atkinson
007,Pierce
007,Berrien
006,Cobb
023,Wilkinson
023,Washington
023,Screven
023,Jefferson
023,Jenkins
023,Burke
023,Richmond
023,Emanuel
004,Effingham
004,Candler
004,Evans
004,Treutlen
004,Emanuel
004,Bulloch
004,Tattnall
047,Elbert
047,Jackson
047,Barrow
047,Oglethorpe
047,Madison
047,Clarke
046,Oconee
046,Clarke
046,Walton
009,Gwinnett
008,Brooks
008,Thomas
008,Lowndes
008,Cook
029,Meriwether
029,Harris
029,Muscogee
029,Troup
028,Heard
028,Coweta
028,Carroll
028,Troup
041,DeKalb
041,Gwinnett
040,DeKalb
040,Gwinnett
025,Hancock
025,Jasper
025,Warren
025,Putnam
025,Butts
025,Greene
025,Baldwin
025,Morgan
025,Jones
025,Taliaferro
042,DeKalb
002,Chatham
027,Forsyth
027,Cherokee
039,Fulton
017,Henry
017,Newton
017,Rockdale
017,Walton
017,Spalding
021,Cherokee
021,Cobb
056,Fulton
055,DeKalb
055,Gwinnett
020,Dodge
020,Johnson
020,Pulaski
020,Wilcox
020,Bleckley
020,Laurens
020,Telfair
020,Houston
